DateTime,BidOpen,BidHigh,BidLow,BidClose,AskOpen,AskHigh,AskLow,AskClose
29:00.0,1.29255,1.29289,1.29255,1.29276,1.29305,1.29327,1.293,1.29316
30:00.0,1.29276,1.29277,1.29271,1.29277,1.29316,1.29322,1.29316,1.29317
31:00.0,1.29277,1.29283,1.2924,1.29259,1.29317,1.29323,1.29284,1.29303
32:00.0,1.29259,1.29259,1.29224,1.29239,1.29303,1.29303,1.29258,1.29278
33:00.0,1.29239,1.29249,1.29239,1.29245,1.29278,1.29282,1.29278,1.29282
34:00.0,1.29245,1.29245,1.29243,1.29243,1.29282,1.29282,1.2928,1.2928
35:00.0,1.29243,1.29247,1.29243,1.29245,1.2928,1.29281,1.2928,1.29281
36:00.0,1.29245,1.29272,1.29242,1.29269,1.29281,1.293,1.29278,1.293
37:00.0,1.29269,1.2928,1.29269,1.2928,1.293,1.2932,1.293,1.2932
38:00.0,1.2928,1.29281,1.29264,1.29272,1.2932,1.2932,1.293,1.293
39:00.0,1.29272,1.29274,1.29247,1.29247,1.293,1.293,1.29279,1.2928
40:00.0,1.29247,1.29255,1.29241,1.2925,1.2928,1.2928,1.29269,1.2928
41:00.0,1.2925,1.2925,1.29247,1.29247,1.2928,1.2928,1.29275,1.29275
42:00.0,1.29247,1.29266,1.29222,1.29222,1.29275,1.29289,1.29245,1.29245
43:00.0,1.29222,1.29234,1.29222,1.29234,1.29245,1.29257,1.29245,1.29257
44:00.0,1.29234,1.29253,1.29233,1.29253,1.29257,1.29268,1.29256,1.29268
47:00.0,1.29253,1.29253,1.29239,1.29239,1.29268,1.2927,1.29268,1.2927
48:00.0,1.29239,1.29263,1.29239,1.29255,1.2927,1.29292,1.2927,1.29291
50:00.0,1.29255,1.29255,1.29218,1.29218,1.29291,1.29291,1.29237,1.29237
51:00.0,1.29218,1.29218,1.29217,1.29217,1.29237,1.29244,1.29237,1.29244
52:00.0,1.29217,1.29225,1.29217,1.29225,1.29244,1.29244,1.29239,1.29239
53:00.0,1.29225,1.29226,1.29217,1.29225,1.29239,1.29249,1.29239,1.29239
54:00.0,1.29225,1.29227,1.29225,1.29227,1.29239,1.29241,1.29239,1.29241
55:00.0,1.29227,1.29227,1.29217,1.29218,1.29241,1.29253,1.2924,1.29253
57:00.0,1.29218,1.29225,1.29218,1.29225,1.29253,1.29253,1.2924,1.2924
58:00.0,1.29225,1.29225,1.29218,1.29218,1.2924,1.29254,1.2924,1.29254
59:00.0,1.29218,1.29221,1.29218,1.29221,1.29254,1.29254,1.29252,1.29252
00:00.0,1.29221,1.29238,1.29221,1.29227,1.29252,1.29252,1.29241,1.29248
01:00.0,1.29227,1.29258,1.29227,1.29248,1.29248,1.29267,1.29248,1.29261
04:00.0,1.29248,1.2926,1.29239,1.2926,1.29261,1.29275,1.29261,1.29265
05:00.0,1.2926,1.29278,1.2926,1.29278,1.29265,1.29295,1.29265,1.29288
06:00.0,1.29278,1.29283,1.29253,1.29253,1.29288,1.29298,1.29263,1.29275
07:00.0,1.29253,1.29253,1.29249,1.29249,1.29275,1.29285,1.29275,1.29285
09:00.0,1.29249,1.29258,1.29249,1.29255,1.29285,1.29285,1.29284,1.29285
10:00.0,1.29255,1.29256,1.29249,1.29255,1.29285,1.29285,1.29285,1.29285
11:00.0,1.29255,1.29255,1.29249,1.29249,1.29285,1.29285,1.29285,1.29285
13:00.0,1.29249,1.2925,1.29249,1.2925,1.29285,1.29285,1.2928,1.2928
14:00.0,1.2925,1.29252,1.29249,1.29249,1.2928,1.29285,1.2928,1.29285
